LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,CertificateNumber,LicenseStatus,TradeName,CorpName,Long,Lat,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,CityStateZip
LBD7,BWL,150,5/1/2016,4/30/2017,2016,435,Renewed,DIPASQUALE'S,"L. DIPASQUALE & SONS, INC.",-76.566464,39.288653,Tavern,7 days,"Beer, Wine, & Liquor",3700 GOUGH STREET,21224,"Baltimore, MD 21224"
LBD7,BWL,89,5/1/2016,4/30/2017,2016,253,Renewed,V-NO,V-NO INC,-76.591091,39.281864,Tavern,7 days,"Beer, Wine, & Liquor",905 ANN STREET  SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,47,5/1/2016,4/30/2017,2016,142,Renewed,SOONER'S TAVERN,"CLUB 438, INC.",-76.588395,39.226037,Tavern,7 days,"Beer, Wine, & Liquor",1600 HAZEL STREET,21226,"Baltimore, MD 21226"
LBD7,BWL,86,5/1/2016,4/30/2017,2016,244,Renewed,METRO GALLERY,METRO GALLERY HOLDING CORP.,-76.616412,39.308895,Tavern,7 days,"Beer, Wine, & Liquor",1700 CHARLES STREET NORTH,21201,"Baltimore, MD 21201"
LBD7,BWL,145,5/1/2016,4/30/2017,2016,416,Renewed,DIMITRI'S TAVERN,N/A,-76.636007,39.334344,Tavern,7 days,"Beer, Wine, & Liquor",3820 FALLS ROAD,21211,"Baltimore, MD 21211"
LBD7,BWL,357,5/1/2016,4/30/2017,2016,1003,Renewed,FANTASIES,"KIMMICO, INC.",-76.587684,39.216979,Tavern,7 days,"Beer, Wine, & Liquor",5520 PENNINGTON AVENUE,21226,"Baltimore, MD 21226"
LBD7,BWL,181,5/1/2016,4/30/2017,2016,516,Renewed,LIL' PHIL'S TAVERN,"BOAJ, LLC",-76.593492,39.283243,Tavern,7 days,"Beer, Wine, & Liquor",706 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,112,2/23/2017,4/30/2017,2016,T0330,Transferred,OPPOSITE SIDEWALK SALOON,"WEHAZIT, INC.",-76.637975,39.28569,Tavern,7 days,"Beer, Wine, & Liquor",132 CAREY STREET SOUTH,21223,"Baltimore, MD 21223"
LBD7,BWL,247,5/1/2016,4/30/2017,2016,713,Renewed,CLUB RIO,"CHARLES P. STOKES, INC.",-76.665422,39.3031,Tavern,7 days,"Beer, Wine, & Liquor",1330 POPLAR GROVE STREET,21216,"Baltimore, MD 21216"
LBD7,BWL,244,5/1/2016,4/30/2017,2016,708,Renewed,YORK CLUB TAVERN,"WOODBOURNE LOUNGE, INC.",-76.609899,39.355859,Tavern,7 days,"Beer, Wine, & Liquor",5407 YORK ROAD,21212,"Baltimore, MD 21212"
LBD7,BWL,31,5/1/2016,4/30/2017,2016,95,Renewed,THREE W'S TAVERN,"THREE W'S TAVERN, LLC",-76.581675,39.298863,Tavern,7 days,"Beer, Wine, & Liquor",2518 MONUMENT STREET EAST,21205,"Baltimore, MD 21205"
LBD7,BWL,327,5/1/2016,4/30/2017,2016,937,Renewed,DE KLEINE DUIVEL,"CZYN, LLC",-76.633813,39.331083,Tavern,7 days,"Beer, Wine, & Liquor",3602 HICKORY AVENUE,21211,"Baltimore, MD 21211"
LBD7,BWL,368,5/1/2016,4/30/2017,2016,1025,Renewed,SELECT LOUNGE,"MYAL, LLC",-76.622589,39.294447,Tavern,7 days,"Beer, Wine, & Liquor",415 PACA STREET NORTH,21201,"Baltimore, MD 21201"
LBD7,BWL,243,5/1/2016,4/30/2017,2016,707,Renewed,HAWLEY'S PUB,"HAWLEY ENTERPRISES, LLC",-76.654293,39.26496,Tavern,7 days,"Beer, Wine, & Liquor",2616-18 WASHINGTON BOULEVARD,21230,"Baltimore, MD 21230"
LBD7,BWL,110,5/1/2016,4/30/2017,2016,326,Renewed,BLUE PIT BBQ,"BLUE PIT, LLC",-76.640793,39.332072,Tavern,7 days,"Beer, Wine, & Liquor",1601 UNION AVENUE,21211,"Baltimore, MD 21211"
LBD7,BWL,221,1/29/2016,4/30/2016,2015,T0622,Transferred,JEN'S PLACE,"JEN'S PLACE, INC.",-76.61171,39.272536,Tavern,7 days,"Beer, Wine, & Liquor",1503-05 LIGHT STREET,21230,"Baltimore, MD 21230"
LBD7,BWL,157,6/29/2015,4/30/2016,2015,T0440,Transferred,BUSY BEE,"MUNA,LLC",-76.563106,39.309699,Tavern,7 days,"Beer, Wine, & Liquor",4500-04 ERDMAN AVENUE,21213,"Baltimore, MD 21213"
